Num,TF_Words,TF_Values,DF_Words,DF_Values,TFIDF_Words,TFIDF_Values
0,the,2150,Path:,100,#,491.22090416498185
1,to,1233,From:,100,.,370.8236237323882
2,of,1109,Newsgroups:,100,MR.,299.33606208922595
3,and,875,Subject:,100,STEPHANOPOULOS:,299.33606208922595
4,a,678,Message-ID:,100,Q,255.97872650435866
5,that,632,Date:,100,>,227.5664106575191
6,in,585,Lines:,100,Rockefeller,202.62748818347603
7,is,525,Apr,99,South,196.78524273302557
8,I,373,Organization:,95,],191.68912726597915
9,for,372,the,94,is,179.80741219705735
10,>,348,of,94,was,176.91077219361128
11,are,344,to,94,secret,173.75247186613146
12,you,286,GMT,92,in,168.2940123842918
13,be,275,a,88,naval,161.1809565095832
14,not,262,and,87,been,151.2871637688054
15,on,259,References:,85,The,149.19639402245284
16,it,254,Re:,80,Georgia,148.65687420626955
17,as,253,that,80,war,147.27543168743924
18,was,248,In,76,military,143.76887379011924
19,with,244,in,75,that,141.02672443058057
20,have,235,Xref:,73,they,140.8725028468378
21,The,235,cantaloupe.srv.cs.cmu.edu,73,political,139.66084530180856
22,or,223,I,73,will,138.5828280652014
23,this,209,writes:,71,be,135.93148849906456
24,by,205,is,71,as,133.49108374684008
25,#,204,for,71,the,133.03211799388802
26,--,169,not,70,were,132.43700847585296
27,they,158,it,70,there,131.11546460872742
28,.,154,are,70,THE,128.94476520766656
29,all,145,5,69,with,128.74238906809873
30,In,136,you,67,for,127.40639492820064
31,but,129,article,67,nuclear,125.53615716985982
32,will,125,have,64,ships,124.33959502167848
33,about,125,this,64,on,123.81127244423693
34,at,123,on,62,other,123.0589025843434
35,writes:,123,93,62,are,122.69618071492394
36,from,117,be,61,by,122.55658515490218
37,would,116,--,61,we,121.95288869737722
38,do,113,or,60,and,121.85430891681915
39,were,110,with,59,President,119.73442483569039
40,we,110,as,59,|>,119.22296850887938
41,an,109,by,55,I,117.38710782520818
42,other,108,but,53,he,116.58783541249271
43,there,103,The,53,you,114.53658404677785
44,Apr,102,>,52,or,113.91411409981593
45,From:,101,all,52,has,113.60474920578568
46,Newsgroups:,101,at,51,>>,111.78746928864692
47,Subject:,101,was,49,rights,110.17192474043395
48,Path:,100,do,47,going,110.10231995687863
49,Message-ID:,100,1993,47,think,109.88795938429124
50,Date:,100,an,44,States,108.13344034620464
51,Lines:,100,about,43,about,105.49625878681613
52,article,100,people,43,have,104.87746911767859
53,any,99,from,42,third,104.09619652012135
54,has,97,who,42,would,103.42538183691889
55,their,97,Sender:,42,convention,101.69017902227947
56,Organization:,96,would,41,Institute,101.69017902227947
57,people,96,they,41,which,101.50569719213262
58,no,96,no,41,from,101.4975664214526
59,been,94,if,40,any,98.43097506104283
60,GMT,92,one,39,|,98.30564281864163
61,who,92,only,39,it's,97.93059976927462
62,if,88,their,38,out,97.56231095790179
63,out,88,any,37,now,97.12681757866044
64,Re:,86,up,35,Argentine,96.70857390574993
65,References:,85,don't,35,what,95.71247978782264
66,what,84,than,35,way,95.4118591290041
67,5,83,my,34,all,94.81933777396628
68,which,82,If,34,very,94.37341710589597
69,up,80,just,34,had,94.05926208377227
70,he,77,will,33,Island,93.8885521302755
71,some,77,some,33,their,93.85565054738545
72,think,77,out,33,party,93.45195983940546
73,my,75,we,33,not,93.44883531194789
74,can,74,your,32,this,93.27400444933969
75,South,74,what,32,Bolshevik,92.10340371976184
76,Xref:,73,other,32,can,91.60270234411968
77,cantaloupe.srv.cs.cmu.edu,73,has,31,more,91.60100806172944
78,one,73,6,31,United,91.17133205660392
79,Q,73,were,30,it,90.59543576043802
80,only,72,when,30,human,90.41484125571445
81,1993,71,talk.politics.misc,30,OF,90.41484125571445
82,your,69,University,29,British,89.87196820661973
83,just,69,can,29,an,89.4868801756115
84,don't,69,which,29,his,87.72533243891208
85,more,68,me,28,They,87.05409769404889
86,his,67,there,28,plan,86.87623593306573
87,than,66,even,28,*,86.87623593306573
88,MR.,65,This,28,a,86.67102588370203
89,STEPHANOPOULOS:,65,because,28,Karl,86.0645061194192
90,had,64,so,27,no,85.59341945124322
91,93,62,his,27,some,85.36702208816406
92,>>,61,like,27,do,85.3175520234177
93,They,61,more,26,know,84.79115302726743
94,If,60,make,26,up,83.98576995989421
95,secret,58,then,26,Salt,83.69077144657321
96,political,58,Mon,26,candidates,83.69077144657321
97,so,57,opinions,26,--,83.53607838669785
98,right,56,should,25,Bolsheviks,82.89306334778566
99,THE,56,Article-I.D.:,25,at,82.82138005144316
